,Time,Date,Strefa1,Strefa2,Strefa3,Strefa4,Strefa5,Strefa6,Strefa7,Strefa8,Strefa9,Strefa10,Date_time
0,12:29:19,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 12:29:19
1,12:31:20,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 12:31:20
2,12:34:37,18/06/2018,273,252,0,0,0,0,0,0,0,0,2018-06-18 12:34:37
3,12:36:38,18/06/2018,267,250,0,0,0,0,0,0,0,0,2018-06-18 12:36:38
4,12:38:37,18/06/2018,262,249,0,0,0,0,0,0,0,0,2018-06-18 12:38:37
5,12:40:38,18/06/2018,259,249,0,0,0,0,0,0,0,0,2018-06-18 12:40:38
6,12:42:37,18/06/2018,258,249,0,0,0,0,0,0,0,0,2018-06-18 12:42:37
7,12:44:37,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 12:44:37
8,12:46:37,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 12:46:37
9,12:48:38,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 12:48:38
10,12:50:37,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 12:50:37
11,12:52:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 12:52:37
12,12:54:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 12:54:38
13,12:56:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 12:56:38
14,12:58:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 12:58:37
15,13:00:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:00:37
16,13:02:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:02:37
17,13:04:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:04:38
18,13:06:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:06:37
19,13:08:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:08:38
20,13:10:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:10:37
21,13:12:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:12:38
22,13:14:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:14:37
23,13:16:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:16:38
24,13:18:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:18:37
25,13:20:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:20:37
26,13:22:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:22:38
27,13:24:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:24:38
28,13:26:37,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:26:37
29,13:28:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:28:38
30,13:30:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:30:38
31,13:32:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:32:38
32,13:34:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:34:38
33,13:36:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:36:38
34,13:38:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:38:38
35,13:40:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:40:38
36,13:42:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:42:38
37,13:44:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:44:38
38,13:46:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:46:38
39,13:48:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:48:38
40,13:50:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:50:38
41,13:52:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:52:38
42,13:54:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:54:38
43,13:56:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:56:38
44,13:58:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 13:58:38
45,14:00:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:00:38
46,14:02:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:02:38
47,14:04:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:04:38
48,14:06:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:06:38
49,14:08:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:08:38
50,14:10:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:10:38
51,14:12:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:12:38
52,14:14:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:14:38
53,14:16:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:16:38
54,14:18:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:18:38
55,14:20:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:20:38
56,14:22:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:22:38
57,14:24:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:24:38
58,14:26:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:26:38
59,14:28:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:28:38
60,14:30:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:30:38
61,14:32:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:32:38
62,14:34:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:34:38
63,14:36:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:36:38
64,14:38:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:38:38
65,14:40:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:40:38
66,14:42:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:42:38
67,14:44:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:44:38
68,14:46:38,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 14:46:38
69,14:48:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 14:48:38
70,14:50:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 14:50:38
71,14:52:38,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 14:52:38
72,14:54:38,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 14:54:38
73,14:56:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 14:56:38
74,14:58:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 14:58:38
75,15:00:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 15:00:38
76,15:02:38,18/06/2018,256,249,0,0,0,0,0,0,0,0,2018-06-18 15:02:38
77,15:04:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:04:38
78,15:06:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:06:38
79,15:08:38,18/06/2018,256,249,0,0,0,0,0,0,0,0,2018-06-18 15:08:38
80,15:10:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 15:10:38
81,15:12:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 15:12:38
82,15:14:38,18/06/2018,257,249,0,0,0,0,0,0,0,0,2018-06-18 15:14:38
83,15:16:38,18/06/2018,257,248,0,0,0,0,0,0,0,0,2018-06-18 15:16:38
84,15:18:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:18:38
85,15:20:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:20:38
86,15:22:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:22:38
87,15:24:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:24:38
88,15:26:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:26:38
89,15:28:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:28:38
90,15:30:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:30:38
91,15:32:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:32:38
92,15:34:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:34:38
93,15:36:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:36:38
94,15:38:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:38:38
95,15:40:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:40:38
96,15:42:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:42:38
97,15:44:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:44:38
98,15:46:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:46:38
99,15:48:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:48:39
100,15:50:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:50:38
101,15:52:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:52:38
102,15:54:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:54:38
103,15:56:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:56:38
104,15:58:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 15:58:38
105,16:00:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:00:39
106,16:02:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:02:39
107,16:04:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:04:38
108,16:06:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:06:39
109,16:08:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:08:38
110,16:10:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:10:39
111,16:12:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:12:39
112,16:14:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:14:39
113,16:16:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:16:38
114,16:18:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:18:39
115,16:20:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:20:39
116,16:22:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:22:39
117,16:24:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:24:38
118,16:26:38,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:26:38
119,16:28:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:28:39
120,16:30:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:30:39
121,16:32:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:32:39
122,16:34:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:34:39
123,16:36:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:36:39
124,16:38:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:38:39
125,16:40:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:40:39
126,16:42:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:42:39
127,16:44:39,18/06/2018,255,248,0,0,0,0,0,0,0,0,2018-06-18 16:44:39
128,16:46:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:46:39
129,16:48:39,18/06/2018,256,248,0,0,0,0,0,0,0,0,2018-06-18 16:48:39
130,16:50:39,18/06/2018,255,248,0,0,0,0,0,0,0,0,2018-06-18 16:50:39
