,Godzina,Data,H1,H2,H3,H4,H5,H6,H7,H8,H9,Date_time
0,10:02:58,2019-08-04,708,716,676,554,0,0,0,0,0,2019-08-04 10:02:58
1,10:17:58,2019-08-04,697,697,717,555,0,0,0,0,0,2019-08-04 10:17:58
2,10:32:58,2019-08-04,693,694,724,553,0,0,0,0,0,2019-08-04 10:32:58
3,10:47:58,2019-08-04,691,642,683,553,0,0,0,0,0,2019-08-04 10:47:58
4,08:47:56,2019-08-05,664,653,659,604,0,0,0,0,0,2019-08-05 08:47:56
5,09:02:56,2019-08-05,649,643,658,610,0,0,0,0,0,2019-08-05 09:02:56
6,09:17:56,2019-08-05,647,665,664,611,0,0,0,0,0,2019-08-05 09:17:56
7,09:32:56,2019-08-05,631,657,661,616,0,0,0,0,0,2019-08-05 09:32:56
8,09:47:56,2019-08-05,639,656,658,618,0,0,0,0,0,2019-08-05 09:47:56
9,10:02:56,2019-08-05,643,653,660,621,0,0,0,0,0,2019-08-05 10:02:56
10,10:17:56,2019-08-05,640,654,654,618,0,0,0,0,0,2019-08-05 10:17:56
11,10:32:57,2019-08-05,636,645,648,616,0,0,0,0,0,2019-08-05 10:32:57
12,10:47:57,2019-08-05,632,640,641,615,0,0,0,0,0,2019-08-05 10:47:57
13,11:02:57,2019-08-05,631,634,632,613,0,0,0,0,0,2019-08-05 11:02:57
14,11:17:57,2019-08-05,630,636,633,612,0,0,0,0,0,2019-08-05 11:17:57
15,11:32:57,2019-08-05,627,634,633,612,0,0,0,0,0,2019-08-05 11:32:57
16,11:47:57,2019-08-05,627,633,632,612,0,0,0,0,0,2019-08-05 11:47:57
17,12:02:57,2019-08-05,625,644,641,618,0,0,0,0,0,2019-08-05 12:02:57
18,12:17:57,2019-08-05,626,648,652,621,0,0,0,0,0,2019-08-05 12:17:57
19,12:32:57,2019-08-05,626,651,654,622,0,0,0,0,0,2019-08-05 12:32:57
20,12:47:57,2019-08-05,630,647,659,622,0,0,0,0,0,2019-08-05 12:47:57
21,13:02:58,2019-08-05,631,642,666,625,0,0,0,0,0,2019-08-05 13:02:58
22,13:17:58,2019-08-05,632,646,676,628,0,0,0,0,0,2019-08-05 13:17:58
23,13:32:58,2019-08-05,634,651,670,633,0,0,0,0,0,2019-08-05 13:32:58
24,13:47:58,2019-08-05,634,650,662,629,0,0,0,0,0,2019-08-05 13:47:58
25,14:02:58,2019-08-05,634,650,658,628,0,0,0,0,0,2019-08-05 14:02:58
26,14:17:58,2019-08-05,634,647,658,628,0,0,0,0,0,2019-08-05 14:17:58
