,Godzina,Minuta,T1,T2,T3,T4,T5,T6,T7,T8,T9,Date_time
0,10:02:58,2019-08-04,206,201,204,217,0,0,0,0,0,2019-08-04 10:02:58
1,10:17:58,2019-08-04,208,205,204,217,0,0,0,0,0,2019-08-04 10:17:58
2,10:32:58,2019-08-04,210,206,206,217,0,0,0,0,0,2019-08-04 10:32:58
3,10:47:58,2019-08-04,210,206,205,217,0,0,0,0,0,2019-08-04 10:47:58
4,08:47:56,2019-08-05,207,203,209,214,0,0,0,0,0,2019-08-05 08:47:56
5,09:02:56,2019-08-05,209,206,210,215,0,0,0,0,0,2019-08-05 09:02:56
6,09:17:56,2019-08-05,210,206,211,215,0,0,0,0,0,2019-08-05 09:17:56
7,09:32:56,2019-08-05,212,209,212,215,0,0,0,0,0,2019-08-05 09:32:56
8,09:47:56,2019-08-05,213,211,214,215,0,0,0,0,0,2019-08-05 09:47:56
9,10:02:56,2019-08-05,214,213,214,216,0,0,0,0,0,2019-08-05 10:02:56
10,10:17:56,2019-08-05,214,214,215,216,0,0,0,0,0,2019-08-05 10:17:56
11,10:32:57,2019-08-05,216,215,216,216,0,0,0,0,0,2019-08-05 10:32:57
12,10:47:57,2019-08-05,217,217,218,216,0,0,0,0,0,2019-08-05 10:47:57
13,11:02:57,2019-08-05,218,219,219,216,0,0,0,0,0,2019-08-05 11:02:57
14,11:17:57,2019-08-05,218,219,219,216,0,0,0,0,0,2019-08-05 11:17:57
15,11:32:57,2019-08-05,219,220,220,216,0,0,0,0,0,2019-08-05 11:32:57
16,11:47:57,2019-08-05,218,220,219,216,0,0,0,0,0,2019-08-05 11:47:57
17,12:02:57,2019-08-05,217,218,218,216,0,0,0,0,0,2019-08-05 12:02:57
18,12:17:57,2019-08-05,217,218,218,217,0,0,0,0,0,2019-08-05 12:17:57
19,12:32:57,2019-08-05,218,218,218,217,0,0,0,0,0,2019-08-05 12:32:57
20,12:47:57,2019-08-05,219,219,219,217,0,0,0,0,0,2019-08-05 12:47:57
21,13:02:58,2019-08-05,219,220,219,217,0,0,0,0,0,2019-08-05 13:02:58
22,13:17:58,2019-08-05,219,220,219,217,0,0,0,0,0,2019-08-05 13:17:58
23,13:32:58,2019-08-05,219,220,220,218,0,0,0,0,0,2019-08-05 13:32:58
24,13:47:58,2019-08-05,220,221,220,218,0,0,0,0,0,2019-08-05 13:47:58
25,14:02:58,2019-08-05,221,221,221,218,0,0,0,0,0,2019-08-05 14:02:58
26,14:17:58,2019-08-05,221,222,222,218,0,0,0,0,0,2019-08-05 14:17:58
27,14:32:58,2019-08-05,222,223,223,218,0,0,0,0,0,2019-08-05 14:32:58
28,14:47:58,2019-08-05,222,223,222,218,0,0,0,0,0,2019-08-05 14:47:58
29,15:02:58,2019-08-05,222,223,222,219,0,0,0,0,0,2019-08-05 15:02:58
30,15:17:58,2019-08-05,221,223,221,219,0,0,0,0,0,2019-08-05 15:17:58
31,15:32:59,2019-08-05,221,223,221,219,0,0,0,0,0,2019-08-05 15:32:59
32,15:47:59,2019-08-05,221,223,221,219,0,0,0,0,0,2019-08-05 15:47:59
33,16:02:59,2019-08-05,222,223,222,219,0,0,0,0,0,2019-08-05 16:02:59
34,16:17:59,2019-08-05,222,224,222,219,0,0,0,0,0,2019-08-05 16:17:59
35,16:32:59,2019-08-05,222,224,223,219,0,0,0,0,0,2019-08-05 16:32:59
36,16:47:59,2019-08-05,223,224,223,219,0,0,0,0,0,2019-08-05 16:47:59
37,17:02:59,2019-08-05,223,224,223,220,0,0,0,0,0,2019-08-05 17:02:59
